Date	Time	Temp	Wind_dir	Wind_spd	EF_NH3	EF_CH4	EF_N2O
20161112	13	3	172.897305	1.3173964	0.93804108	15.1602705	-0.197030147
20161112	14	3.41666667	184.288091	1.15673611	1.42246112	15.3010996	-0.09606784
20161112	15	3.16666667	163.327555	0.389998879	1.16833425	16.0386849	-0.069118366
20161112	16	-0.083333333	121.780054	0.683226166	1.54664641	17.8822599	-0.052112139
20161112	17	1.16666667	164.349392	0.315082686	1.32682987	15.4816654	-0.028604084
20161112	18	1.83333333	287.859217	0.594645327	1.25421196	14.903795	0
20161112	19	0.333333333	133.945912	0.621336217	1.1641825	16.0966422	-0.070512577
20161112	20	-1.08333333	129.754111	0.640502959	1.12368756	15.5336357	0.079403178
20161112	21	-0.916666667	157.697846	0.463663315	0.919558928	13.9141829	0.07485561
20161112	22	-1	135.223866	0.822993903	1.29257477	12.2634144	0.112607582
20161112	23	0	134.633571	0.894275239	1.03096385	11.7790508	0.099593826
20161113	0	-0.25	137.456528	0.732785326	1.14101456	11.0423384	0.068700403
20161113	1	-0.166666667	153.668015	0.666625549	0.968414377	11.9090324	-4.91E-17
20161113	2	-0.166666667	123.838961	0.909541044	0.96022869	10.4957966	0.103005269
20161113	3	0.416666667	139.304882	0.952600029	0.847801903	10.7931259	0.069124914
20161113	4	0.416666667	150.661485	1.08968661	0.767602928	10.7637906	0.080800618
20161113	5	0.083333333	142.744991	0.983459855	0.868185505	10.1039622	0.082408602
20161113	6	0.083333333	139.500176	0.991328252	0.925095606	10.209613	0.094892033
20161113	7	0.583333333	134.041902	1.50571872	1.00749478	10.0602273	0.055315147
20161113	8	0.416666667	128.931559	2.0711405	1.17268043	12.3696734	0.043233998
20161113	9	2	147.625663	1.94393516	0.991427198	12.152611	0.148356548
20161113	10	3.91666667	154.08223	2.66185432	1.00851475	11.5064531	0.071264717
20161113	11	4.83333333	157.10372	2.91943734	1.00165632	12.1602015	-0.039813795
20161113	12	5.5	157.204538	2.8459449	0.882662537	13.4447424	-0.04009604
20161113	13	6	158.09852	2.27723768	1.01194166	13.7921127	-0.085808247
20161113	14	5.75	158.453839	1.73076167	1.01890117	13.811391	-0.46655127
20161113	15	4.5	149.232034	1.61540327	0.956936532	14.145855	-0.308575973
20161113	16	2.08333333	141.228888	1.53800879	1.13385045	15.9424369	-0.267621725
20161113	17	2.41666667	133.634891	1.31212126	1.14909098	14.8057552	-0.241083497
20161113	18	2.25	146.15308	1.54526856	1.0277311	15.8596505	-0.118836986
20161113	19	2.5	157.556616	1.20207607	1.03091229	14.87953	0
20161113	20	2.66666667	156.210821	1.30242814	0.882233227	13.3961767	0
20161113	21	1.66666667	157.571028	1.25677864	0.97554856	12.9492662	0.017853728
20161113	22	1.25	156.226091	1.40418652	1.06452424	11.679403	0
20161113	23	2	165.79603	0.904644251	0.852440973	10.9306122	0.021684985
20161114	0	0.166666667	164.051751	1.92992355	1.07225327	11.848975	0.047575679
20161114	1	-0.25	159.940765	2.07473455	0.89249263	10.3124799	0.024412739
20161114	2	0.583333333	163.883158	2.07705814	0.822724535	9.66217236	0.087204324
20161114	3	1.91666667	181.529077	0.779989017	0.625447979	9.21177083	0.104331671
20161114	4	2.16666667	182.727239	0.660439788	0.703455876	10.318138	-0.035789998
20161114	5	1.33333333	168.961243	0.851170438	0.78114955	10.4218326	-0.029222683
20161114	6	-0.083333333	161.776779	1.33351139	1.0207203	10.4232141	0.07162977
20161114	7	0.416666667	167.675084	1.76175876	0.945233128	10.4224328	0.077566117
